latitude in degrees,latitude radians,radius in meters,gc ,gnorth
0,0.0,6378135.0,9.814202481616475,3.721615639353488e-06
1,0.017453292519943295,6378135.0,9.814188201653533,-0.0005516013969734943
2,0.03490658503988659,6378135.0,9.81414485926362,-0.0011062602916519946
3,0.05235987755982989,6378135.0,9.814072506700516,-0.001659579272488439
4,0.06981317007977318,6378135.0,9.813971231565171,-0.0022108841564870215
5,0.08726646259971647,6378135.0,9.813841156700347,-0.0027595031950848293
6,0.10471975511965978,6378135.0,9.813682440042276,-0.003304767892759515
7,0.12217304763960307,6378135.0,9.813495274429618,-0.0038460138217257162
8,0.13962634015954636,6378135.0,9.813279887369788,-0.004382581431727097
9,0.15707963267948966,6378135.0,9.813036540763099,-0.004913816853936529
10,0.17453292519943295,6378135.0,9.812765530584937,-0.0054390726979840895
11,0.19198621771937624,6378135.0,9.812467186526401,-0.0059577088411407585
12,0.20943951023931956,6378135.0,9.812141871593841,-0.006469093208695082
13,0.22689280275926285,6378135.0,9.81178998166775,-0.006972602544570755
14,0.24434609527920614,6378135.0,9.811411945021591,-0.007467623171244733
15,0.2617993877991494,6378135.0,9.811008221801107,-0.007953551738038533
16,0.2792526803190927,6378135.0,9.810579303464737,-0.008429795956869197
17,0.29670597283903605,6378135.0,9.810125712185865,-0.008895775324561928
18,0.3141592653589793,6378135.0,9.80964800021758,-0.009350921830842235
19,0.33161255787892263,6378135.0,9.80914674922073,-0.009794680651143153
20,0.3490658503988659,6378135.0,9.808622569556103,-0.010226510823381238
21,0.3665191429188092,6378135.0,9.808076099541594,-0.01064588590787462
22,0.3839724354387525,6378135.0,9.80750800467522,-0.01105229462959681
23,0.4014257279586958,6378135.0,9.806918976824987,-0.011445241501981382
24,0.4188790204786391,6378135.0,9.80630973338655,-0.011824247431515111
25,0.4363323129985824,6378135.0,9.805681016409716,-0.012188850302380337
26,0.4537856055185257,6378135.0,9.805033591694848,-0.012538605540431888
27,0.47123889803846897,6378135.0,9.804368247860234,-0.012873086655818568
28,0.4886921905584123,6378135.0,9.803685795381627,-0.013191885763585664
29,0.5061454830783556,6378135.0,9.802987065605073,-0.0134946140816213
30,0.5235987755982988,6378135.0,9.802272909734224,-0.013780902405337393
31,0.5410520681182421,6378135.0,9.801544197793392,-0.014050401558504007
32,0.5585053606381855,6378135.0,9.800801817567644,-0.01430278281968504
33,0.5759586531581288,6378135.0,9.800046673521113,-0.014537738323753107
34,0.5934119456780721,6378135.0,9.799279685694978,-0.014754981437991312
35,0.6108652381980153,6378135.0,9.798501788586377,-0.014954247112321293
36,0.6283185307179586,6378135.0,9.797713930009618,-0.015135292203227764
37,0.6457718232379019,6378135.0,9.796917069941127,-0.015297895770982315
38,0.6632251157578453,6378135.0,9.796112179349493,-0.015441859349801633
39,0.6806784082777885,6378135.0,9.795300239012038,-0.0155670071906083
40,0.6981317007977318,6378135.0,9.794482238319407,-0.01567318647609574
41,0.7155849933176751,6378135.0,9.793659174069573,-0.015760267507832798
42,0.7330382858376184,6378135.0,9.792832049252748,-0.015828143865177398
43,0.7504915783575618,6378135.0,9.792001871828719,-0.015876732535803306
44,0.767944870877505,6378135.0,9.791169653498029,-0.01590597401767846
45,0.7853981633974483,6378135.0,9.790336408468583,-0.01591583239236851
46,0.8028514559173916,6378135.0,9.789503152219114,-0.015906295369573862
47,0.8203047484373349,6378135.0,9.788670900261062,-0.015877374302843954
48,0.8377580409572782,6378135.0,9.787840666900353,-0.015829104176447617
49,0.8552113334772214,6378135.0,9.787013464000621,-0.015761543563413492
50,0.8726646259971648,6378135.0,9.786190299749329,-0.015674774554789904
51,0.8901179185171081,6378135.0,9.785372177428346,-0.015568902660208668
52,0.9075712110370514,6378135.0,9.78456009419047,-0.015444056679872331
53,0.9250245035569946,6378135.0,9.78375503984336,-0.015300388548119489
54,0.9424777960769379,6378135.0,9.782957995642393,-0.015138073148757277
55,0.9599310885968813,6378135.0,9.782169933093934,-0.014957308102384954
56,0.9773843811168246,6378135.0,9.781391812770412,-0.014758313525966564
57,0.9948376736367679,6378135.0,9.780624583138739,-0.01454133176494467
58,1.0122909661567112,6378135.0,9.779869179403441,-0.014306627098220778
59,1.0297442586766545,6378135.0,9.779126522365925,-0.014054485416361165
60,1.0471975511965976,6378135.0,9.778397517301297,-0.013785213873419808
61,1.064650843716541,6378135.0,9.777683052854073,-0.013499140512802007
62,1.0821041362364843,6378135.0,9.776983999954176,-0.01319661386762458
63,1.0995574287564276,6378135.0,9.776301210754474,-0.012878002536059254
64,1.117010721276371,6378135.0,9.77563551759123,-0.012543694732176805
65,1.1344640137963142,6378135.0,9.7749877319687,-0.012194097812839342
66,1.1519173063162575,6378135.0,9.774358643569105,-0.01182963778121755
67,1.1693705988362009,6378135.0,9.77374901928922,-0.011450758767538245
68,1.1868238913561442,6378135.0,9.773159602304732,-0.011057922487695535
69,1.2042771838760873,6378135.0,9.772591111163534,-0.010651607680385995
70,1.2217304763960306,6378135.0,9.772044238909032,-0.010232309523454506
71,1.239183768915974,6378135.0,9.771519652234565,-0.009800539030162975
72,1.2566370614359172,6378135.0,9.771017990669947,-0.009356822426118626
73,1.2740903539558606,6378135.0,9.770539865801172,-0.00890170050762233
74,1.2915436464758039,6378135.0,9.77008586052416,-0.008435727982220215
75,1.3089969389957472,6378135.0,9.769656528333519,-0.007959472792263538
76,1.3264502315156905,6378135.0,9.769252392647182,-0.007473515422302596
77,1.3439035240356338,6378135.0,9.768873946167718,-0.00697844819116047
78,1.361356816555577,6378135.0,9.768521650281125,-0.0064748745295508505
79,1.3788101090755203,6378135.0,9.768195934493818,-0.0059634082441221625
80,1.3962634015954636,6378135.0,9.767897195908535,-0.005444672768826785
81,1.413716694115407,6378135.0,9.767625798739747,-0.0049193004045295615
82,1.4311699866353502,6378135.0,9.767382073869234,-0.004387931547784421
83,1.4486232791552935,6378135.0,9.767166318442287,-0.003851213909721025
84,1.4660765716752369,6378135.0,9.766978795505134,-0.003309801725995614
85,1.4835298641951802,6378135.0,9.766819733683912,-0.002764354958771068
86,1.5009831567151235,6378135.0,9.766689326905686,-0.002215538491701046
87,1.5184364492350666,6378135.0,9.766587734161797,-0.0016640213189016292
88,1.53588974175501,6378135.0,9.766515079313836,-0.0011104757289011839
89,1.5533430342749532,6378135.0,9.766471450942488,-0.0005555764845655099
90,1.5707963267948966,6378135.0,9.766456902239446,-0.0
91,1.5882496193148399,6378135.0,9.766471450942488,0.0005555764845655099
92,1.6057029118347832,6378135.0,9.766515079313836,0.0011104757289011839
93,1.6231562043547265,6378135.0,9.766587734161797,0.0016640213189016292
94,1.6406094968746698,6378135.0,9.766689326905686,0.002215538491701053
95,1.6580627893946132,6378135.0,9.766819733683912,0.002764354958771075
96,1.6755160819145565,6378135.0,9.766978795505134,0.003309801725995621
97,1.6929693744344996,6378135.0,9.767166318442287,0.003851213909721025
98,1.710422666954443,6378135.0,9.767382073869234,0.004387931547784421
99,1.7278759594743862,6378135.0,9.767625798739747,0.0049193004045295615
100,1.7453292519943295,6378135.0,9.767897195908535,0.005444672768826785
101,1.7627825445142729,6378135.0,9.768195934493818,0.0059634082441221625
102,1.7802358370342162,6378135.0,9.768521650281125,0.0064748745295508505
103,1.7976891295541595,6378135.0,9.768873946167718,0.006978448191160478
104,1.8151424220741028,6378135.0,9.769252392647182,0.007473515422302602
105,1.8325957145940461,6378135.0,9.769656528333519,0.007959472792263543
106,1.8500490071139892,6378135.0,9.77008586052416,0.008435727982220215
107,1.8675022996339325,6378135.0,9.770539865801172,0.00890170050762233
108,1.8849555921538759,6378135.0,9.771017990669947,0.009356822426118626
109,1.9024088846738192,6378135.0,9.771519652234565,0.009800539030162975
110,1.9198621771937625,6378135.0,9.772044238909032,0.010232309523454506
111,1.9373154697137058,6378135.0,9.772591111163534,0.010651607680385995
112,1.9547687622336491,6378135.0,9.773159602304732,0.01105792248769554
113,1.9722220547535925,6378135.0,9.77374901928922,0.011450758767538247
114,1.9896753472735358,6378135.0,9.774358643569105,0.011829637781217555
115,2.007128639793479,6378135.0,9.7749877319687,0.012194097812839342
116,2.0245819323134224,6378135.0,9.77563551759123,0.012543694732176806
117,2.0420352248333655,6378135.0,9.776301210754474,0.012878002536059254
118,2.059488517353309,6378135.0,9.776983999954176,0.013196613867624583
119,2.076941809873252,6378135.0,9.777683052854073,0.013499140512802007
120,2.0943951023931953,6378135.0,9.778397517301297,0.013785213873419803
121,2.111848394913139,6378135.0,9.779126522365925,0.01405448541636117
122,2.129301687433082,6378135.0,9.779869179403441,0.014306627098220778
123,2.1467549799530254,6378135.0,9.780624583138739,0.014541331764944673
124,2.1642082724729685,6378135.0,9.781391812770412,0.014758313525966564
125,2.181661564992912,6378135.0,9.782169933093934,0.014957308102384957
126,2.199114857512855,6378135.0,9.782957995642393,0.015138073148757277
127,2.2165681500327987,6378135.0,9.78375503984336,0.015300388548119492
128,2.234021442552742,6378135.0,9.78456009419047,0.015444056679872335
129,2.251474735072685,6378135.0,9.785372177428346,0.015568902660208668
130,2.2689280275926285,6378135.0,9.786190299749329,0.015674774554789907
131,2.2863813201125716,6378135.0,9.787013464000621,0.015761543563413492
132,2.303834612632515,6378135.0,9.787840666900353,0.015829104176447617
133,2.321287905152458,6378135.0,9.788670900261062,0.015877374302843954
134,2.3387411976724017,6378135.0,9.789503152219114,0.01590629536957386
135,2.356194490192345,6378135.0,9.790336408468583,0.01591583239236851
136,2.3736477827122884,6378135.0,9.791169653498029,0.01590597401767846
137,2.3911010752322315,6378135.0,9.792001871828719,0.015876732535803302
138,2.4085543677521746,6378135.0,9.792832049252748,0.0158281438651774
139,2.426007660272118,6378135.0,9.793659174069573,0.015760267507832798
140,2.443460952792061,6378135.0,9.794482238319407,0.01567318647609574
141,2.4609142453120048,6378135.0,9.795300239012038,0.015567007190608299
142,2.478367537831948,6378135.0,9.796112179349493,0.015441859349801633
143,2.4958208303518914,6378135.0,9.796917069941127,0.015297895770982312
144,2.5132741228718345,6378135.0,9.797713930009618,0.015135292203227764
145,2.530727415391778,6378135.0,9.798501788586377,0.01495424711232129
146,2.548180707911721,6378135.0,9.799279685694978,0.014754981437991308
147,2.5656340004316642,6378135.0,9.800046673521113,0.014537738323753107
148,2.5830872929516078,6378135.0,9.800801817567644,0.01430278281968504
149,2.600540585471551,6378135.0,9.801544197793392,0.014050401558504007
150,2.6179938779914944,6378135.0,9.802272909734224,0.013780902405337393
151,2.6354471705114375,6378135.0,9.802987065605073,0.0134946140816213
152,2.652900463031381,6378135.0,9.803685795381627,0.013191885763585659
153,2.670353755551324,6378135.0,9.804368247860234,0.012873086655818568
154,2.6878070480712677,6378135.0,9.805033591694848,0.012538605540431881
155,2.705260340591211,6378135.0,9.805681016409716,0.012188850302380337
156,2.722713633111154,6378135.0,9.80630973338655,0.011824247431515111
157,2.7401669256310974,6378135.0,9.806918976824987,0.011445241501981382
158,2.7576202181510405,6378135.0,9.80750800467522,0.01105229462959681
159,2.775073510670984,6378135.0,9.808076099541594,0.010645885907874611
160,2.792526803190927,6378135.0,9.808622569556103,0.010226510823381238
161,2.8099800957108707,6378135.0,9.80914674922073,0.009794680651143146
162,2.827433388230814,6378135.0,9.80964800021758,0.009350921830842235
163,2.8448866807507573,6378135.0,9.810125712185865,0.008895775324561922
164,2.8623399732707004,6378135.0,9.810579303464737,0.008429795956869197
165,2.8797932657906435,6378135.0,9.811008221801107,0.007953551738038538
166,2.897246558310587,6378135.0,9.811411945021591,0.007467623171244733
167,2.91469985083053,6378135.0,9.81178998166775,0.006972602544570755
168,2.9321531433504737,6378135.0,9.812141871593841,0.0064690932086950755
169,2.949606435870417,6378135.0,9.812467186526401,0.0059577088411407585
170,2.9670597283903604,6378135.0,9.812765530584937,0.005439072697984083
171,2.9845130209103035,6378135.0,9.813036540763099,0.004913816853936529
172,3.001966313430247,6378135.0,9.813279887369788,0.00438258143172709
173,3.01941960595019,6378135.0,9.813495274429618,0.0038460138217257162
174,3.036872898470133,6378135.0,9.813682440042276,0.003304767892759522
175,3.0543261909900767,6378135.0,9.813841156700347,0.0027595031950848293
176,3.07177948351002,6378135.0,9.813971231565171,0.0022108841564870215
177,3.0892327760299634,6378135.0,9.814072506700516,0.0016595792724884318
178,3.1066860685499065,6378135.0,9.81414485926362,0.0011062602916519946
179,3.12413936106985,6378135.0,9.814188201653533,0.0005516013969734872
